flow_id,split,label,protocol,packet_count,byte_total,duration_sec,avg_pkt_len,std_pkt_len,pkts_per_sec,bytes_per_sec,syn_only_ratio,ack_ratio,dst_port,udp_small_packet_ratio,icmp_type,icmp_code
152.32.252.115_211.65.234.14_40347_5900_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,5900,0.0,0,0
211.65.221.255_212.73.148.30_6212_34055_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,34055,0.0,0,0
167.99.12.113_211.65.235.73_46089_3446_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,3446,0.0,0,0
211.65.254.93_212.73.148.36_5073_55288_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,55288,0.0,0,0
176.65.148.96_211.65.220.134_36690_8545_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,8545,0.0,0,0
211.65.217.209_31.14.254.61_64076_55826_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,55826,0.0,0,0
123.160.221.173_211.65.249.154_49560_8440_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,8440,0.0,0,0
211.65.196.20_45.198.224.5_2375_40905_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,40905,0.0,0,0
211.65.221.160_79.124.49.194_63031_44002_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,44002,0.0,0,0
123.160.221.181_211.65.214.23_24365_15223_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,70,0.001,70.0,0.0,1000.0,70000.0,1.0,0.0,15223,0.0,0,0
104.247.189.4_211.65.196.149_43418_3489_tcp,train,TCP-Probe_Flood-Candidate,tcp,1,64,0.001,64.0,0.0,1000.0,64000.0,1.0,0.0,3489,0.0,0,0
